epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.12327,1.80428,2.90534,1.73476,0.00393,1,0.26592,0.10071,1.72792,2.85692,1.5265,0,0,0
2,3.06668,1.86122,2.88291,1.76594,0.00393,1,0.27382,0.09853,1.73175,2.85673,1.5273,1.9604e-05,1.9604e-05,1.9604e-05
3,3.94663,1.81531,2.93296,1.7734,0.00395,1,0.26752,0.09762,1.73146,2.85439,1.53435,3.8416e-05,3.8416e-05,3.8416e-05
4,4.63147,1.78367,2.8835,1.69865,0.00394,1,0.27135,0.09747,1.7357,2.85353,1.53936,5.6436e-05,5.6436e-05,5.6436e-05
5,5.23211,1.78388,2.91365,1.72433,0.00395,1,0.26606,0.09678,1.73865,2.85502,1.54354,7.3664e-05,7.3664e-05,7.3664e-05
6,5.82883,1.80957,2.93347,1.74974,0.00396,1,0.26131,0.09388,1.7405,2.85519,1.54778,9.01e-05,9.01e-05,9.01e-05
7,6.44506,1.78671,2.90925,1.72689,0.00398,1,0.25899,0.09233,1.73974,2.85671,1.55063,0.000105744,0.000105744,0.000105744
8,7.27535,1.76736,2.90338,1.72013,0.00398,1,0.46313,0.18526,1.64605,2.7869,1.42905,0.000120596,0.000120596,0.000120596
9,7.95695,1.74481,2.66918,1.65161,0.00397,1,0.59975,0.24526,1.60447,2.7144,1.34827,0.000134656,0.000134656,0.000134656
10,8.63348,1.78723,2.37262,1.62778,0.00398,1,0.60336,0.24538,1.60275,2.71501,1.35039,0.000147924,0.000147924,0.000147924
11,9.31312,1.77295,2.34906,1.6201,0.00397,1,0.76087,0.30954,1.62935,2.61456,1.29923,0.0001604,0.0001604,0.0001604
12,9.99247,1.7121,2.00142,1.53645,0.00395,1,0.82799,0.34295,1.69733,2.55317,1.27491,0.000172084,0.000172084,0.000172084
13,10.6467,1.75046,1.74624,1.48639,0.00397,1,0.86198,0.35023,1.68874,2.50328,1.26225,0.000182976,0.000182976,0.000182976
14,11.336,1.78934,1.54698,1.49123,0.00397,1,0.89817,0.35622,1.67814,2.44647,1.26838,0.000193076,0.000193076,0.000193076
15,12.0206,1.76287,1.43414,1.46663,0.00397,1,0.91745,0.35986,1.70433,2.41243,1.28419,0.000202384,0.000202384,0.000202384
16,12.7023,1.77363,1.43453,1.43818,0.004,1,0.92828,0.35206,1.70329,2.43017,1.29712,0.0002109,0.0002109,0.0002109
17,13.368,1.70822,1.4375,1.40279,0.00403,1,0.88112,0.34035,1.6904,2.44496,1.30687,0.000218624,0.000218624,0.000218624
18,14.0469,1.73785,1.44995,1.43992,0.00409,1,0.87017,0.32981,1.69718,2.43507,1.30266,0.000225556,0.000225556,0.000225556
19,14.8555,1.69127,1.40271,1.37932,0.00416,1,0.85631,0.33548,1.70051,2.42254,1.3019,0.000231696,0.000231696,0.000231696
20,15.5974,1.67535,1.34306,1.34578,0.00424,1,0.90267,0.37582,1.69893,2.36883,1.28925,0.000237044,0.000237044,0.000237044
21,16.3105,1.64848,1.35083,1.36026,0.60721,0.92593,0.90161,0.38644,1.71756,2.29701,1.29563,0.0002416,0.0002416,0.0002416
22,16.9839,1.60359,1.34506,1.34036,0.96551,0.51844,0.896,0.38119,1.73124,2.24528,1.30044,0.000245364,0.000245364,0.000245364
23,17.6682,1.60186,1.33443,1.31115,1,0.40653,0.89847,0.3765,1.75619,2.21413,1.32277,0.000248336,0.000248336,0.000248336
24,18.4724,1.57617,1.34051,1.31791,1,0.47972,0.90411,0.37555,1.77272,2.20871,1.33736,0.000250516,0.000250516,0.000250516
25,19.266,1.56848,1.30648,1.27689,0.96579,0.52293,0.91139,0.37892,1.79028,2.20706,1.33817,0.000251904,0.000251904,0.000251904
26,20.0374,1.58196,1.2891,1.29372,0.96679,0.53917,0.89695,0.37662,1.78111,2.20874,1.33724,0.0002525,0.0002525,0.0002525
27,20.7541,1.57454,1.2772,1.27191,0.97297,0.66658,0.92345,0.37424,1.76918,2.2362,1.3371,0.000252304,0.000252304,0.000252304
28,21.4738,1.56605,1.29994,1.28481,1,0.74425,0.93652,0.37739,1.7638,2.24876,1.33999,0.000251316,0.000251316,0.000251316
